time	m	r	n	a	dt	s	c
1	3	7	76	1	2	1	73
2	4	5	66	1	2	1	62
3	1	7	57	1	2	1	56
4	0	5	49	1	2	1	49
5	0	6	44	1	2	1	44
6	0	3	38	1	2	1	38
7	0	7	35	1	2	1	35
8	0	2	28	1	2	1	28
9	0	5	26	1	2	1	26
10	1	2	21	1	2	1	20
11	0	1	18	1	2	1	18
12	0	2	17	1	2	1	17
13	0	1	15	1	2	1	15
14	0	3	14	1	2	1	14
15	0	1	11	1	2	1	11
16	1	1	10	1	2	1	9
17	1	2	8	1	2	1	7
18	0	0	5	1	2	1	5
19	2	0	5	1	2	1	3
20	2	0	3	1	2	1	1
21	1	0	1	1	2	1	0
1	0	6	81	2	2	1	75
2	1	9	75	2	2	1	66
3	0	5	65	2	2	1	60
4	0	5	60	2	2	1	55
5	0	6	55	2	2	1	49
6	0	3	49	2	2	1	46
7	1	5	46	2	2	1	41
8	0	3	40	2	2	1	37
9	1	3	37	2	2	1	34
10	1	3	33	2	2	1	30
11	0	5	29	2	2	1	24
12	0	3	24	2	2	1	21
13	0	1	21	2	2	1	20
14	0	3	20	2	2	1	17
15	0	3	17	2	2	1	14
16	0	3	14	2	2	1	11
17	2	0	11	2	2	1	11
18	0	0	9	2	2	1	9
19	2	0	9	2	2	1	9
20	2	1	7	2	2	1	6
21	2	2	4	2	2	1	2
1	14	72	710	1	2	2	696
2	13	108	624	1	2	2	611
3	0	98	503	1	2	2	503
4	1	65	405	1	2	2	404
5	1	69	339	1	2	2	338
6	1	40	269	1	2	2	268
7	14	30	228	1	2	2	214
8	15	30	184	1	2	2	169
9	12	13	139	1	2	2	127
10	12	13	114	1	2	2	102
11	9	13	89	1	2	2	80
12	10	11	67	1	2	2	57
13	7	2	46	1	2	2	39
14	8	5	37	1	2	2	29
15	5	3	24	1	2	2	19
16	5	2	16	1	2	2	11
17	8	0	9	1	2	2	1
18	1	0	1	1	2	2	0
1	3	90	723	2	2	2	720
2	4	108	630	2	2	2	626
3	7	97	518	2	2	2	511
4	7	71	414	2	2	2	407
5	0	62	336	2	2	2	336
6	0	51	274	2	2	2	274
7	17	30	223	2	2	2	206
8	18	27	176	2	2	2	158
9	13	14	131	2	2	2	118
10	9	10	104	2	2	2	95
11	7	14	85	2	2	2	78
12	7	7	64	2	2	2	57
13	5	2	50	2	2	2	45
14	7	5	43	2	2	2	36
15	4	6	31	2	2	2	27
16	6	0	21	2	2	2	15
17	6	0	15	2	2	2	9
18	9	0	9	2	2	2	0
1	4	39	288	1	2	3	284
2	4	38	245	1	2	3	241
3	9	42	203	1	2	3	194
4	14	20	152	1	2	3	138
5	15	25	118	1	2	3	103
6	12	16	78	1	2	3	66
7	13	11	50	1	2	3	37
8	6	8	26	1	2	3	20
9	3	3	12	1	2	3	9
10	2	3	6	1	2	3	4
11	1	0	1	1	2	3	0
1	3	25	283	2	2	3	280
2	4	49	255	2	2	3	251
3	6	32	202	2	2	3	196
4	12	28	164	2	2	3	152
5	12	34	124	2	2	3	112
6	11	13	78	2	2	3	67
7	12	16	54	2	2	3	42
8	9	4	26	2	2	3	17
9	8	4	13	2	2	3	5
10	1	0	1	2	2	3	0
1	0	13	73	1	2	4	73
2	0	11	60	1	2	4	60
3	0	6	49	1	2	4	49
4	0	6	43	1	2	4	43
5	0	6	37	1	2	4	37
6	0	5	31	1	2	4	31
7	26	0	26	1	2	4	0
1	0	11	68	2	2	4	68
2	0	8	57	2	2	4	57
3	0	4	49	2	2	4	49
4	0	15	45	2	2	4	45
5	0	7	30	2	2	4	30
6	0	2	23	2	2	4	23
7	11	10	21	2	2	4	10
1	0	22	107	1	2	5	107
2	0	24	85	1	2	5	85
3	0	10	61	1	2	5	61
4	0	7	51	1	2	5	51
5	0	14	44	1	2	5	44
6	0	6	30	1	2	5	30
7	0	0	24	1	2	5	24
8	24	0	24	1	2	5	0
1	0	35	235	2	2	5	235
2	0	35	200	2	2	5	200
3	0	27	165	2	2	5	165
4	0	16	138	2	2	5	138
5	0	7	122	2	2	5	122
6	0	18	115	2	2	5	115
7	97	0	97	2	2	5	0
1	4	7	244	1	2	6	240
2	0	21	233	1	2	6	233
3	0	24	212	1	2	6	212
4	0	16	188	1	2	6	188
5	14	18	172	1	2	6	158
6	14	20	140	1	2	6	126
7	10	9	106	1	2	6	96
8	13	5	87	1	2	6	74
9	9	16	69	1	2	6	60
10	6	3	44	1	2	6	38
11	4	6	35	1	2	6	31
12	5	2	25	1	2	6	20
13	3	1	18	1	2	6	15
14	3	1	14	1	2	6	11
15	2	1	10	1	2	6	8
16	1	0	7	1	2	6	6
17	3	0	6	1	2	6	3
18	3	0	3	1	2	6	0
1	1	18	245	2	2	6	244
2	0	32	226	2	2	6	226
3	1	24	194	2	2	6	193
4	2	19	169	2	2	6	167
5	6	15	148	2	2	6	142
6	12	17	127	2	2	6	115
7	10	10	98	2	2	6	88
8	8	7	78	2	2	6	70
9	12	4	63	2	2	6	51
10	7	5	47	2	2	6	40
11	3	3	35	2	2	6	32
12	4	0	29	2	2	6	25
13	5	1	25	2	2	6	20
14	8	2	19	2	2	6	11
15	4	0	9	2	2	6	5
16	1	0	5	2	2	6	4
17	3	0	4	2	2	6	1
18	1	0	1	2	2	6	0
1	0	7	55	1	2	7	55
2	0	7	48	1	2	7	48
3	0	8	41	1	2	7	41
4	0	6	33	1	2	7	33
5	0	5	27	1	2	7	27
6	0	1	22	1	2	7	22
7	0	3	21	1	2	7	21
8	0	7	18	1	2	7	18
9	0	3	11	1	2	7	11
10	0	8	8	1	2	7	8
1	0	4	100	2	2	7	100
2	0	38	96	2	2	7	96
3	0	22	58	2	2	7	58
4	0	15	36	2	2	7	36
5	0	3	21	2	2	7	21
6	12	6	18	2	2	7	6
